Configuration	STM32F407_FreeRTOS
STM32CubeMX 	4.27.0
Date	03/20/2021
MCU	STM32F407ZGTx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN5	ADC1_IN5	PA5
ADC3	IN5	ADC3_IN5	PF7
CAN1	Master	CAN1_RX	PA11
CAN1	Master	CAN1_TX	PA12
DAC	DAC_OUT1	DAC_OUT1	PA4
ETH	RMII	ETH_CRS_DV	PA7
ETH	RMII	ETH_MDC	PC1
ETH	RMII	ETH_MDIO	PA2
ETH	RMII	ETH_REF_CLK	PA1
ETH	RMII	ETH_RXD0	PC4
ETH	RMII	ETH_RXD1	PC5
ETH	RMII	ETH_TXD0	PG13
ETH	RMII	ETH_TXD1	PG14
ETH	RMII	ETH_TX_EN	PG11
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	NE3	FSMC_NE3	PG10
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	SRAM	FSMC_NOE	PD4
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	SRAM	FSMC_NWE	PD5
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A0	PF0
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A1	PF1
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A2	PF2
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A3	PF3
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A4	PF4
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A5	PF5
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A6	PF12
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A7	PF13
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A8	PF14
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A9	PF15
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A10	PG0
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A11	PG1
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A12	PG2
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A13	PG3
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A14	PG4
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A15	PG5
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A16	PD11
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	18 bits	FSMC_A17	PD12
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D0	PD14
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D1	PD15
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D2	PD0
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D3	PD1
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D4	PE7
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D5	PE8
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D6	PE9
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D7	PE10
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D8	PE11
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D9	PE12
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D10	PE13
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D11	PE14
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D12	PE15
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D13	PD8
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D14	PD9
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FSMC_D15	PD10
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16-bit byte enable	FSMC_NBL0	PE0
FSMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16-bit byte enable	FSMC_NBL1	PE1
I2S2	Full-Duplex Master	I2S2_CK	PB13
I2S2	Full-Duplex Master	I2S2_SD	PC3
I2S2	Full-Duplex Master	I2S2_WS	PB12
I2S2	Full-Duplex Master	I2S2_ext_SD	PC2
I2S2	Activated	I2S2_MCK	PC6
RCC	Crystal/Ceramic Resonator	RCC_OSC_IN	PH0-OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC_OUT	PH1-OSC_OUT
RCC	Crystal/Ceramic Resonator	RCC_OSC32_IN	PC14-OSC32_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC32_OUT	PC15-OSC32_OUT
RTC	Activate Clock Source	RTC_VS_RTC_Activate	VP_RTC_VS_RTC_Activate
RTC	Activate Calendar	RTC_VS_RTC_Calendar	VP_RTC_VS_RTC_Calendar
